trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration
1,sad,low,low,0.5,0.796875,64,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.901
2,angry,high,high,1.5,0.796875,64,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.901
3,sad,low,low,1.5,0.796875,64,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.901
4,sad,low,high,0.5,0.796875,64,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.901
5,angry,high,high,1.5,0.796875,64,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.901
6,sad,low,low,1,0.796875,64,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.901
7,angry,low,low,1.5,0.796875,64,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.901
8,sad,low,low,0.5,0.796875,64,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.901
9,angry,high,high,1,0.796875,64,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.901
10,angry,low,low,1,0.796875,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.901
11,sad,low,low,1.5,0.796875,64,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.901
12,angry,high,high,1,0.796875,64,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.901
13,sad,low,high,0.5,0.796875,64,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.901
14,angry,high,low,1.5,0.796875,64,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.901
15,sad,high,low,1,0.796875,64,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.901
16,sad,low,high,0.5,0.796875,64,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.901
17,angry,high,low,1,0.796875,64,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.901
18,sad,low,high,0.5,0.796875,64,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.901
19,angry,high,low,1,0.796875,64,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.901
20,sad,low,high,1.5,0.796875,64,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.901
21,angry,high,low,0.5,0.796875,64,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.901
