module,trial_number,start,building_type,depth,OLL_ONLL,ITI,forced_choice,path_version
1,0,1,office,3,NA,0.5,X,2
1,1,1,library,3,NA,1.5,X,2
1,2,1,office,3,NA,1,X,2
1,3,1,library,3,NA,1.5,X,2
1,4,1,office,3,NA,0.5,X,2
1,5,1,library,3,NA,1.5,X,2
1,6,1,office,3,NA,1,X,2
1,7,1,library,3,NA,0.5,X,2
1,8,1,office,3,NA,1,X,2
1,9,1,library,3,NA,1.5,X,2
1,10,1,office,3,NA,0.5,X,2
1,11,1,library,3,NA,1,X,2
1,12,1,office,3,NA,1.5,X,2
1,13,1,office,3,NA,0.5,X,2
1,14,1,library,3,NA,1.5,X,2
1,15,1,office,3,NA,1,X,2
1,16,1,library,3,NA,0.5,X,2
1,17,1,office,3,NA,1,X,2
1,18,1,library,3,NA,1.5,X,2
1,19,1,office,3,NA,0.5,X,2
1,20,1,library,3,NA,1.5,X,2
1,21,1,office,3,NA,1,X,2
1,22,1,library,3,NA,0.5,X,2
1,23,1,office,3,NA,1,X,2
1,24,1,library,3,NA,1.5,X,2
1,25,1,office,3,NA,0.5,X,2
1,26,1,office,3,NA,1.5,X,2
1,27,1,library,3,NA,1,X,2
1,28,1,office,3,NA,1,X,2
1,29,1,library,3,NA,0.5,X,2
1,30,1,office,3,NA,1.5,X,2
1,31,1,library,3,NA,1,X,2
1,32,1,office,3,NA,0.5,X,2
1,33,1,library,3,NA,0.5,X,2
1,34,1,office,3,NA,1,X,2
1,35,1,library,3,NA,1.5,X,2
1,36,1,office,3,NA,0.5,X,2
1,37,1,library,3,NA,1,X,2
1,38,1,office,3,NA,1.5,X,2
1,39,1,office,3,NA,0.5,X,2
1,40,1,library,3,NA,1.5,X,2
1,41,1,office,3,NA,1,X,2
1,42,1,library,3,NA,0.5,X,2
1,43,1,office,3,NA,1,X,2
1,44,1,library,3,NA,1.5,X,2
1,45,1,office,3,NA,0.5,X,2
1,46,1,library,3,NA,1.5,X,2
1,47,1,office,3,NA,1,X,2
1,48,1,library,3,NA,0.5,X,2
1,49,1,office,3,NA,1,X,2
1,50,1,library,3,NA,1.5,X,2
1,51,1,office,3,NA,0.5,X,2
1,52,1,office,3,NA,1,X,2
1,53,1,library,3,NA,1.5,X,2
1,54,1,office,3,NA,1,X,2
1,55,1,library,3,NA,0.5,X,2
1,56,1,office,3,NA,1.5,X,2
1,57,1,library,3,NA,0.5,X,2
1,58,1,office,3,NA,1,X,2
1,59,1,library,3,NA,1.5,X,2
